day,time_index,time_id,YR Band 1 value,YR Damage Accumulation value,XA Peak Acceleration value,XA Peak Velocity value,XA RMS Velocity value,XA Temperature value,XA Band 1 value,XA Damage Accumulation value,YR Peak Acceleration value,YR Peak Velocity value,YR RMS Velocity value,YR Temperature value,BatteryVoltage value
6,31,6031,0.0026596,1.0012481,0.0436155,0.0075055,0.0028338,64.01565018,0.0020844,0.9706077,0.0421384,0.0089599,0.0030537,64.01565018,3.219633818
6,32,6032,0.0021423,1.0113088,0.0400934,0.0096137,0.0033005,64.12135925,0.0014178,0.9460466,0.0479212,0.0069609,0.0027021,64.12135925,3.219926596
6,33,6033,0.0020929,1.0060244,0.0501839,0.0108988,0.003302,64.15658417,0.0031308,0.9926581,0.0399028,0.0083008,0.0027271,64.15658417,3.220512867
6,34,6034,0.0013786,1.0468393,0.0428044,0.0083259,0.0030194,63.55766792,0.0020835,0.9685969,0.0472512,0.0075094,0.0026049,63.55766792,3.21924305
6,35,6035,0.0021011,1.006766,0.040209,0.0092112,0.0032804,63.80426979,0.0030232,1.0205947,0.0408278,0.0099562,0.0028075,63.80426979,3.219438314
6,36,6036,0.0028645,0.9891671,0.0416873,0.0090925,0.0029622,63.6633358,0.0018428,1.003425,0.0381945,0.0109379,0.0031684,63.6633358,3.219145298
6,37,6037,0.0032986,1.0296492,0.0449384,0.0102144,0.0031445,63.38151245,0.0020748,0.996893,0.0431993,0.0098193,0.0035342,63.38151245,3.219047546
6,38,6038,0.0025384,0.9961915,0.0484401,0.0126086,0.0036822,63.34624634,0.0037474,0.9250745,0.0441732,0.0093663,0.0032128,63.34624634,3.218852282
6,39,6039,0.002007,0.9343211,0.0416153,0.0100104,0.0032397,63.48718033,0.0012521,1.0245656,0.0385934,0.0077404,0.0030123,63.48718033,3.218559265
6,40,6040,0.003052,1.0221168,0.0472846,0.0094322,0.0034894,63.20535355,0.0022077,1.008317,0.0482001,0.0084066,0.0030194,63.20535355,3.218461514
