day,time_index,time,PeakAcceleration value,PeakVelocity value,YR Band 1 value,YR Damage Accumulation value,YR Peak Acceleration value,YR Peak Velocity value,Band1 value,DamageAccumulation value,YR RMS Velocity value,YR Temperature value,RMSVelocity value,Temperature value,BatteryVoltage value
1,1,6032,0.0289761,0.0172062,0.0024617,0.3682643,0.0296664,0.0127583,0.0028611,0.3753436,0.0043411,65.62163849,0.0042797,65.62163849,3.245714426
1,2,6033,0.0344743,0.015452,0.0020057,0.3641104,0.0302537,0.011738,0.0058991,0.3645496,0.0036731,65.62163849,0.0055444,65.62163849,3.245714426
1,3,6034,0.0377887,0.0142716,0.0040133,0.3613421,0.0288175,0.0115973,0.0044538,0.3574632,0.0042443,65.85980835,0.0045348,65.85980835,3.245909691
1,4,6035,0.034299,0.0176556,0.0037381,0.3710146,0.0356939,0.0164879,0.0021139,0.3770766,0.0051853,65.58762894,0.0051255,65.58762894,3.245518923
1,5,6036,0.0332215,0.0140633,0.0036123,0.362878,0.0368338,0.015616,0.0038106,0.3464225,0.0050881,65.51960297,0.0047836,65.51960297,3.245518923
1,6,6037,0.0379664,0.0179874,0.0063433,0.3745373,0.0311459,0.0146116,0.0047511,0.3738274,0.0055928,65.79174461,0.0051769,65.79174461,3.24493289
1,7,6038,0.0337828,0.0120218,0.0052448,0.3643899,0.0328598,0.0160995,0.0043186,0.365347,0.0054554,65.79174461,0.0041663,65.79174461,3.244835138
1,8,6039,0.031623,0.0147782,0.003577,0.3733019,0.0309742,0.0101016,0.0035152,0.3669337,0.0037633,65.65565491,0.0049461,65.65565491,3.244737625
1,9,6040,0.038074,0.0123299,0.0019298,0.3522978,0.0275113,0.0133732,0.0029007,0.3548597,0.0045402,65.92783432,0.0044482,65.92783432,3.245518923
1,10,6041,0.0386619,0.0206193,0.0026659,0.3577953,0.0354881,0.0111286,0.0028963,0.3723387,0.0041092,65.79174461,0.0056438,65.79174461,3.244151354
1,11,6042,0.0338479,0.0151983,0.0039783,0.3686821,0.0291304,0.0145046,0.0036926,0.3696673,0.0040136,65.51960297,0.0047395,65.51960297,3.244151354
1,12,6043,0.033087,0.0141451,0.0034439,0.3694365,0.0288319,0.0126856,0.0039719,0.3702205,0.004542,65.85980835,0.0046891,65.85980835,3.244249105
1,13,6044,0.0357028,0.013701,0.0053474,0.3704104,0.029168,0.0154866,0.0031977,0.3666977,0.0047122,65.55361595,0.0045855,65.55361595,3.244542122
1,14,6045,0.039193,0.0128717,0.0025417,0.35188,0.0298866,0.0120622,0.0037182,0.3784461,0.0035139,65.55361595,0.0043039,65.55361595,3.244346619
1,15,6046,0.0342153,0.0168344,0.0027582,0.3599835,0.0358015,0.013144,0.0041623,0.3566143,0.003586,65.8257576,0.0048927,65.8257576,3.243369818
1,16,6047,0.0318562,0.0168536,0.0039127,0.3677443,0.031708,0.0137277,0.003394,0.3671071,0.0047643,65.72372208,0.0049555,65.72372208,3.243369818
1,17,6048,0.0368044,0.0138409,0.0024521,0.3490185,0.0334335,0.0132132,0.0030337,0.3521341,0.0044425,65.55361595,0.0045247,65.55361595,3.243467569
1,18,6049,0.0409042,0.0147703,0.0028615,0.3679968,0.0297839,0.013101,0.0033958,0.3596545,0.0040647,65.68970566,0.0044862,65.68970566,3.24307704
1,19,6050,0.0292971,0.0160878,0.0036283,0.3557784,0.0311833,0.0152929,0.0030197,0.3627272,0.0048473,65.51960297,0.0051194,65.51960297,3.243369818
1,20,6051,0.0318768,0.015645,0.0040679,0.359211,0.0329744,0.0134687,0.0039845,0.3685472,0.0044365,65.55361595,0.0046786,65.55361595,3.242490768
1,21,6052,0.0331596,0.0148084,0.0021988,0.3741736,0.0303945,0.0125536,0.0068159,0.3644331,0.0035238,65.85980835,0.0048706,65.85980835,3.24258852
1,22,6053,0.03272,0.0182266,0.0060548,0.3532326,0.0315575,0.0155643,0.0029413,0.3697622,0.0050087,65.34950027,0.0046901,65.34950027,3.242295504
1,23,6054,0.0310106,0.0147588,0.0024462,0.3631335,0.0294499,0.0123492,0.002227,0.3499428,0.0042786,65.41752625,0.0045497,65.41752625,3.242100239
1,24,6055,0.0345812,0.0159367,0.0041041,0.3595567,0.0299724,0.0134346,0.0042565,0.3619733,0.0043973,65.72372208,0.0052476,65.72372208,3.242393017
1,25,6056,0.0330819,0.0159051,0.0047832,0.374378,0.0313198,0.012925,0.0046987,0.3642568,0.0043742,65.8257576,0.0048124,65.8257576,3.242197752
1,26,6057,0.037564,0.012225,0.003355,0.3495746,0.0294034,0.0150039,0.003445,0.3513259,0.0047563,65.62163849,0.0043895,65.62163849,3.241807222
1,27,6058,0.0291983,0.0132048,0.0023286,0.3684927,0.0304541,0.0132555,0.0034258,0.3823106,0.0040042,66.13195,0.0042549,66.13195,3.241220951
1,28,6059,0.0362333,0.0121917,0.0053742,0.3739963,0.0266304,0.014718,0.0038679,0.3611867,0.0047479,65.68970566,0.0039712,65.68970566,3.241513968
1,29,6060,0.0319278,0.0170788,0.0038936,0.350855,0.0303928,0.011024,0.0048615,0.3469216,0.0038343,65.55361595,0.0053922,65.55361595,3.241318703
1,30,6061,0.0301235,0.0133299,0.005127,0.3582732,0.0345125,0.0164174,0.003335,0.3633944,0.0052953,65.79174461,0.0043901,65.79174461,3.241123438
1,31,6062,0.0345454,0.0166907,0.0028974,0.3703834,0.0339427,0.0131837,0.003348,0.3845644,0.0047374,65.21341057,0.0048985,65.21341057,3.240439415
1,32,6063,0.0311862,0.0149028,0.0025527,0.359199,0.0323056,0.0145278,0.0044173,0.3497854,0.0042314,65.65565491,0.005259,65.65565491,3.24073267
1,33,6064,0.0311691,0.0132633,0.0033792,0.3865362,0.0386556,0.0144815,0.0056736,0.3641619,0.0043518,65.48555222,0.0051419,65.48555222,3.240634918
1,34,6065,0.0384884,0.017568,0.0038263,0.3521655,0.0417242,0.0135225,0.0034327,0.3642053,0.0045733,65.75773163,0.0048511,65.75773163,3.241318703
1,35,6066,0.0334535,0.0144873,0.0042235,0.363386,0.032701,0.0133175,0.003652,0.3643654,0.0046413,65.79174461,0.004661,65.79174461,3.240927935
1,36,6067,0.0303417,0.0178105,0.0035413,0.3759169,0.0293678,0.0146162,0.0056515,0.3536962,0.0041485,65.51960297,0.0058706,65.51960297,3.240634918
1,37,6068,0.0308264,0.0138969,0.0030068,0.383768,0.0320319,0.0112747,0.0040951,0.374972,0.0043144,65.41752625,0.0045261,65.41752625,3.240537167
1,38,6069,0.0353565,0.0161456,0.0037317,0.3660761,0.0287588,0.0163297,0.0038379,0.3803336,0.0044921,65.58762894,0.0049741,65.58762894,3.240341902
1,39,6070,0.0323971,0.0122473,0.0037678,0.3695357,0.0279158,0.0179006,0.0045769,0.3765558,0.0046651,65.68970566,0.0045182,65.68970566,3.239951134
1,40,6071,0.0333934,0.0127128,0.0035086,0.3668276,0.0324787,0.0123864,0.0031151,0.3655721,0.0043526,65.79174461,0.0044233,65.79174461,3.240146637
1,41,6072,0.0388969,0.0170927,0.0032472,0.3598963,0.0248415,0.0141656,0.0031908,0.3638906,0.0045356,65.8257576,0.0048819,65.8257576,3.239658117
1,42,6073,0.0362167,0.0128379,0.00374,0.353981,0.0275243,0.0116448,0.0038806,0.3560746,0.0036344,65.51960297,0.0043743,65.51960297,3.239658117
1,43,6074,0.0364798,0.0147287,0.0037186,0.3593943,0.0300135,0.0141919,0.0042988,0.3717772,0.004499,65.65565491,0.004667,65.65565491,3.239658117
1,44,6075,0.033344,0.011141,0.002636,0.3546663,0.0314699,0.0145488,0.0030558,0.3627407,0.0040067,65.68970566,0.004279,65.68970566,3.239267349
1,45,6076,0.0313822,0.0178254,0.0043268,0.3530011,0.0278508,0.0131787,0.0046985,0.3646662,0.0044405,65.65565491,0.0051006,65.65565491,3.239267349
1,46,6077,0.0325671,0.0128572,0.0037679,0.3511826,0.0282209,0.0147706,0.0024593,0.3688347,0.0052228,65.4515358,0.0037879,65.4515358,3.238583565
1,47,6078,0.0306023,0.0139716,0.0038355,0.3598723,0.0291307,0.0145208,0.0046367,0.3477514,0.0045567,65.1453434,0.0054116,65.1453434,3.239365101
1,48,6079,0.0327067,0.0149782,0.0033972,0.370185,0.0288653,0.01460575,0.0034113,0.3486356,0.00430675,65.96184731,0.0044935,65.96184731,3.239365101
1,49,6080,0.0349607,0.0110082,0.0029589,0.3804977,0.0285999,0.0146907,0.0025578,0.3711751,0.0040568,66.02991104,0.0045405,66.02991104,3.238779068
1,50,6081,0.0354472,0.0164419,0.0023392,0.3756134,0.0363335,0.0139101,0.0062217,0.340372,0.0045459,65.79174461,0.0052055,65.79174461,3.238485813
1,51,6082,0.0434852,0.0145968,0.0046426,0.3684988,0.0294914,0.0148318,0.0049799,0.3740797,0.0045445,65.85980835,0.0050079,65.85980835,3.238290548
1,52,6083,0.032347,0.0181768,0.0022812,0.3624362,0.0359786,0.017097,0.0032205,0.3683248,0.0045621,65.51960297,0.0055428,65.51960297,3.2383883
1,53,6084,0.035671,0.0163594,0.0033992,0.3690157,0.0352083,0.0187272,0.004267,0.3596192,0.0044918,65.79174461,0.0051502,65.79174461,3.237802267
1,54,6085,0.0416937,0.0170433,0.0037823,0.3700647,0.0356046,0.0142676,0.0039724,0.3719941,0.0042018,65.79174461,0.004909,65.79174461,3.237997532
1,55,6086,0.0304317,0.0179061,0.0052141,0.3594935,0.0309804,0.0159376,0.0024218,0.3648073,0.0047929,66.09793701,0.0042518,66.09793701,3.237997532
1,56,6087,0.0331196,0.0136067,0.0027352,0.3577923,0.0342798,0.0150977,0.0031047,0.3549655,0.0043349,65.75773163,0.0043525,65.75773163,3.237704515
1,57,6088,0.0325381,0.0184395,0.0024274,0.3636805,0.0306623,0.0128065,0.0022946,0.3721677,0.0043893,66.06392746,0.0053346,66.06392746,3.237606764
1,58,6089,0.0356234,0.0159047,0.0048426,0.3584175,0.0311194,0.0133389,0.0036086,0.360959,0.0047601,65.99586029,0.0051683,65.99586029,3.237509012
1,59,6090,0.0314401,0.0137242,0.0055004,0.3634491,0.032171,0.0141686,0.0056575,0.3430406,0.0041023,65.79174461,0.0044822,65.79174461,3.236825466
1,60,6091,0.0300261,0.0163482,0.0033806,0.3629952,0.0308455,0.0143169,0.0035453,0.3547457,0.0047282,65.92783432,0.0055074,65.92783432,3.237118483
1,61,6092,0.034466,0.0146939,0.0031883,0.3554779,0.0298695,0.0131434,0.0025206,0.3623584,0.0041277,65.51960297,0.004586,65.51960297,3.237313747
1,62,6093,0.0361183,0.0174424,0.0025104,0.3603622,0.0283925,0.0116456,0.0058921,0.3510573,0.0039965,65.58762894,0.0053947,65.58762894,3.236727715
1,63,6094,0.03209,0.0122705,0.0038533,0.374369,0.0289642,0.0137873,0.0047029,0.3677986,0.0051216,65.55361595,0.0036794,65.55361595,3.236532211
1,64,6095,0.0375687,0.0141039,0.0020572,0.3674347,0.029821,0.0134845,0.0051786,0.3687181,0.0043165,66.02991104,0.0045238,66.02991104,3.236239433
1,65,6096,0.0309092,0.014625,0.0033071,0.3579305,0.02794,0.0121643,0.0029628,0.3590037,0.004523,65.92783432,0.0048278,65.92783432,3.236336946
1,66,6097,0.0319813,0.0166515,0.0031718,0.3621055,0.0293256,0.0127847,0.0047116,0.3537125,0.0040782,65.92783432,0.0048102,65.92783432,3.236336946
1,67,6098,0.0373493,0.0125001,0.0027449,0.3667133,0.0306263,0.0162388,0.0030865,0.361702,0.004711,65.79174461,0.0046274,65.79174461,3.23604393
